Número do Anúncio;Data de Publicação;Objeto do Procedimento;Entidade(s);Preço Base;CPVs;Tipo de Ato;Modelo do Anúncio;Tipo de Contrato;Diário da República;Série;Ligação para Peças;ID do Procedimento;maximumEstimatedValueUnderFrameworkAgreement
411/2026;09-01-2026;Acordo Quadro para Aquisição de Bens para a Proteção da Pele para uso ocupacional;"Municípia, Empresa de Cartografia e Sistemas de Informação, SA (504475606)";"1.023,00 €";"33711500-2, Produtos para tratamento da pele";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/NTZmYmVORTkvZ3kvSVhsazVOaEhWMUQ1WmEyWWZLUTFwejJ2c2lKazd2Y0pQTVI4Q2J0T3k5azlzVFdTZzJCMW1ESGgvOHJMbndNWno3OTJPaHJFOUE9PTkhMTRY;8552397;true
412/2026;09-01-2026;"Lote de Sessões de Cirurgia Plástica e Reconstrutiva na ULSAM, EPE";"Unidade Local de Saúde do Alto Minho, EPE (508786193)";"249.750,00 €";"85120000-6, Serviços de prática médica e serviços conexos";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/RktZd3JReUVHZ2RDaDF0bGMrazRkZXV4UUpCZGdhREFZcWFkRjgwWFZhaVlXT0JqK1d5ZXMrYktwT2tqMTVsL21qa0VsZ0YyT0V0UEVSV0ZQalhYblE9PUg1VEI4;8552396;false
415/2026;09-01-2026;Próteses Totais da Anca ;"Unidade Local de Saúde do Alto Ave, EPE (508080827)";"338.915,00 €";"33100000-1, Equipamento médico";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/Mms2TmMzQjZvdmY4UVdhSHp2eDkxRHMvTUtFL1NRcTFPSzhqaUcrY01Zak00emJqdTltL3pVWlhBc05tYUh0UE5meEtvTktwR3lEMFRnakJlbTg2a2c9PVNvV3k4;8552395;false
417/2026;09-01-2026;Concurso Público CP/1197/2025_HL;"Direção-Geral das Autarquias Locais (600035972), Instituto Português da Qualidade, IP (502225610), Instituto Nacional de Estatística, IP (INE) (502237490), Instituto dos Mercados Públicos, do Imobiliário e da Construção, IP (504739506), Laboratório Nacional de Engenharia Civil, IP (501389660), Comissão para a Cidadania e a Igualdade de Género (600082598), Cinemateca Portuguesa - Museu do Cinema, IP (501603409), Gabinete Nacional de Segurança (600056120), Academia Portuguesa da História (600022730), Academia Nacional de Belas Artes (600020630), Entidade de Serviços Partilhados da Administração Pública, IP (510342191), Direção-Geral do Território (600084965), Direção-geral da Qualificação dos Trabalhadores em Funções Públicas (600084876), Comissão de Recrutamento e Seleção para a Administração Pública (CRESAP) (600086941), Gabinete de Prevenção e Investigação de Acidentes com Aeronaves e de Acidentes Ferroviários (600087034), Autoridade Antidopagem de Portugal (600087301), Agência para a Integração, Migrações e Asilo, IP (517686260), Património Cultural, IP (517842920)";"8.287.265,75 €";"90910000-9, Serviços de limpeza";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://plataforma-sncp.espap.gov.pt/espap/faces/app/acessoDocs.jsp?codigoAcesso=9II4IRIBN2Oc51J5bJVmknOuTUmXiTXIKshlojPekbWlYRG1H4;8552393;false
418/2026;09-01-2026;Renovação do licenciamento do software PowerCenter e PowerExchange;Autoridade Tributária e Aduaneira (600084779);"498.420,00 €";"48000000-8, Pacotes de software e sistemas de informação";Anúncio de procedimento;Concurso público;Locação de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjA2OQ;8552392;false
420/2026;09-01-2026;Aquisição de Papel Laser com Marca de Água;"Imprensa Nacional - Casa da Moeda, S.A. (500792887)";"274.000,00 €";"30197630-1, Papel para impressão";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjk3MA;8552391;false
422/2026;09-01-2026;03-25ETAPCPIMAIA;"Coopetape - Cooperativa de Ensino, CRL (504443127)";"1.416.011,75 €";"39150000-8, Mobiliário e equipamento diverso";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/QURINzUzT2tXK29NNzQ1UE1oQXlySTdZdm4wRG5DNFlvSitPUEFhUkozUHBZQkdXT2MydjBEcWpzRXk2dHgvUW93QXZaOVdkOXVsWnNRSk1UTTJPYVE9PXBWKmh4;8552390;false
445/2026;09-01-2026;"262A000017 - Aquisição de Rolo Absorvente Pré-Cortado, ano 2026 e 2027";"Unidade Local de Saúde de Santa Maria, EPE (508481287)";"38.500,00 €";"33140000-3, Material médico de consumo";Anúncio de Alteração;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/R2owT3ZadWNBYVQ3SVlGN1VXZThqV1FoOU5xTXFGQ0Nlc2Vvdm05eTFmMTQ3ajZjMmM5cXJRa3ZoTXQ5ZkQ0eS80UThTYzQrMzBCeE1XK1FBY2RtclE9PSFWSENF;8495909;false
427/2026;09-01-2026;Execução do Programa de Monitorização do Ambiente Marinho (PMAM);"Águas de Santo André, SA (505600005)";"150.000,00 €";"90733100-5, Serviços de monitorização ou controlo da poluição de águas superficiais";Anúncio de Alteração;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTI2OTY5;8269311;false
419/2026;09-01-2026;"Aquisição de serviços de comunicações globais (eletrónicas, fixa e móvel) para os Edifícios e Escolas do Município de Almada";Município de Almada (500051054);"782.222,00 €";"64200000-8, Serviços de telecomunicações";Anúncio de Alteração;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/N3NLMTJpWjN6ejZrSlVnS1ZXM1BSRVppMlpHQlliOWdhQmpndzYwQlV5WFdyejd6bGw0SVMyejAyNTh4eVVKVEVwdWhjTDIrQkZlQkYrU1dic2swU0E9PXd3U3hv;8257774;false
434/2026;09-01-2026;NOVAS INSTALAÇÕES DA POLÍCIA MUNICIPAL;Município da Maia (505387131);"3.985.350,29 €";"45216110-8, Obras de construção de edifícios destinados às forças policiais";Anúncio de Alteração;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk4MTE0;8082228;false
436/2026;09-01-2026;"Empreitada de execução para a ""Substituição da Caixa de Medição de Caudal e Conduta de Água Industrial à Repsol YPF, S.A.""";"Águas de Santo André, SA (505600005)";"900.000,00 €";"45232151-5, Obras de renovação de condutas de água";Anúncio de Alteração;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkyOTc4;8076950;false
428/2026;09-01-2026;Empreitada de Reabilitação do Emissário do Jamor - Fase I;"Águas do Tejo Atlântico, SA (514387130)";"2.300.000,00 €";"45232460-4, Obras de saneamento";Anúncio de Alteração;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk4MTY2;8076556;false
421/2026;09-01-2026;Empreitada de Construção do Segundo Campo de Golfe do Porto Santo- Primeira Fase;"Sociedade de Desenvolvimento do Porto Santo, SA (511131879)";"6.155.811,90 €";"45200000-9, Obras de construção total ou parcial e de engenharia civil";Anúncio de Alteração;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkyODA3;8015560;false
