Número do Anúncio;Data de Publicação;Objeto do Procedimento;Entidade(s);Preço Base;CPVs;Tipo de Ato;Modelo do Anúncio;Tipo de Contrato;Diário da República;Série;Ligação para Peças;ID do Procedimento;maximumEstimatedValueUnderFrameworkAgreement
453/2026;09-01-2026;"Empreitada de Revestimento das paredes de contenção das rampas de acesso ao estacionamento do Edifício sito na Praça José Fontana, 36-39 a Rua Sousa Martins, 24-28 e Rua Sousa Martins, 22";Santa Casa da Misericórdia de Lisboa (500745471);"28.000,00 €";"45260000-7, Edificação de coberturas e outras construções especializadas";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAxMjA5OA;8566715;false
454/2026;09-01-2026;Prestação de serviços de manutenção da estufa de pintura automóvel da Aldeia de Santa Isabel;Santa Casa da Misericórdia de Lisboa (500745471);"15.525,00 €";"50110000-9, Serviços de reparação e manutenção de veículos e equipamento afim";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAxMDg5NQ;8566714;false
457/2026;09-01-2026;Aquisição de 1 Unidade Dentária Móvel para Serviço de Estomatologia;"Unidade Local de Saúde de São João, EPE (509821197)";"12.000,00 €";"33100000-1, Equipamento médico";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/bnpLQWxFa2tJWWQ2aFphSTVJdUN2YkVyU1FXWEFoejNYakxVb2M5MVFVdDQ0SEg0T2dLbS82bFROTEtSdmFUUGdJRi9aa3E1R0ljd0Q1OWlpcTBLL2c9PTZ6KSgx;8566711;false
458/2026;09-01-2026;Aquisição de serviços de objeto aquisição de Serviços de Implementação de Sistema Integrado de Operação Aérea com Drones de Transporte;"Unidade Local de Saúde de São João, EPE (509821197)";"145.000,00 €";"60444000-2, Serviços de operação de aeronaves";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/czczMVpIZXVOY00wb3pYb016dFN5T0xhUCs3K2l2b2ptSnhqSnZYZG5QU3ZBZTk5WW9hUCtLZWhjS2xGakpWZ2VxNnZnRWFyNGxVSDUySFF2Uks2R1E9PWlVN0JF;8566710;false
459/2026;09-01-2026;Aquisição de Serviços de Fiscalização e Coordenação de Segurança em Obra para diversas Empreitadas a desenvolver na Faculdade de Medicina de Lisboa em 2025/2026;Faculdade de Medicina Universidade de Lisboa (502662875);"121.325,87 €";"71000000-8, Serviços de arquitectura, construção, engenharia e inspecção";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MDc5Ng;8566709;false
460/2026;09-01-2026;CNC894/OA/2025  Seguro de Saúde OA;Ordem dos Advogados (500965099);"197.000,00 €";"66512200-4, Serviços de seguros de saúde";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/YVo0aHNPR0FCUitxeDBrUVR6Wmx6bzVCNHZQNGN2M0JJOExKVS83YjU0L3RpWXFrS3IvNmpsM2MxazNzMnBDSUptWG5mcG9UL3dsMWRySXdXSDlrMHc9PUBhJTZt;8566708;false
463/2026;09-01-2026;Aquisição de serviços e bens para veículos pesados da marca Volvo;Município de Palmela (506187543);"150.000,00 €";"50114000-7, Serviços de reparação e manutenção de camiões";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/SVhaVnVBZ0FYNVYxa2huNUJRN3k5bnR3aUh6WXpKNll3cmJxNnN1QnQrb0ZYK1I1aThqbkttZ3hFVDlwb0VTcjYrbGtwOGdtbkJNYXBwWFFYbWxhamc9PVJJKm0y;8566705;false
464/2026;09-01-2026;Licenciamento de software para gestão das competências municipais na área da educação;Município de Palmela (506187543);"170.800,04 €";"72510000-3, Serviços de gestão relacionados com a informática";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/M3pHRUxnMExIT0J6YlNpdjN5TmZsRGxXU1BHanRoSk9udndOMkpGaHpNOUtMMWlBaTBCcGJzUEM4OE5zc0dicjdFb3FUS3lXTHQxN3ZMYks5VjJRdlE9PW5TTDk4;8566704;false
465/2026;09-01-2026;Análises de água para consumo humano;Município de Avis (502789824);"18.500,00 €";"71620000-0, Serviços de análise";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/L3ViVk5YQXA3TWs3UmIvc2hJZmVNcTBWSDFzeUdHbW05cjhmclFMNGU4UkFNd2pSdlY5S0JOK3EyMkw2MEhPMFJzR2MvSklMUFV5Z1JqQzVnU3R3Z3c9PWNZdSoo;8566703;false
466/2026;09-01-2026;"CONCURSO PÚBLICO PARA AQUISIÇÃO DE FARDAMENTO, EMBLEMAS E INSIGNIAS POLICIAIS – FORNECIMENTO CONTINUO 67DAP25 MP/7/CPN/B/26";Município de Paredes (506656128);"45.000,00 €";"35811200-4, Uniformes para a polícia";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://community.vortal.biz/Public/public-tender-documents/TFhsQkpEWkFmYURtZ0JLaXRVT3FHYTlGRWJkRktxOW0xWnhmcFlLV3dTUVhmQ241bE03NnhsdVFKZGtDMFdLZVcxOWRucFJyRUQ2VGp5SUtyTWZla3c9PU9oNm9V;8566702;false
381/2026;09-01-2026;"CP n.º 10/2025 - Contratação de Prestação de Serviços: Adaptação do PMUS do Algarve, Geração 2.0";CI-AMAL - Comunidade Intermunicipal do Algarve (502971096);"135.000,00 €";"71311200-3, Serviços de consultoria em sistemas de transportes";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjE3MA;8552436;false
382/2026;09-01-2026;"Aquisição de Carne de Ovino e Caprino (fresca e ultracongelada) para as Unidades Hoteleiras, sitas em Vila Nova de Cerveira, Manteigas, Piódão e Castelo de Vide, da Fundação INATEL";Fundação INATEL (500122237);"25.055,85 €";"15117000-1, Carne de caprino";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTMyMA;8552435;false
383/2026;09-01-2026;CP 01/2026 - AQUISIÇÃO DE VIATURA ELÉTRICA  5 LUGARES;Associação de Promoção Social Cultural e Desportiva de Fornos de Algodres (501799290);"25.284,20 €";"34110000-1, Automóveis de passageiros";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MDgyMw;8552434;false
384/2026;09-01-2026;"Execução da Empreitada de Construção da 1.ª Fase do Parque de Material e Oficinas (PMO) dos TUB - Transportes Urbanos de Braga, E.M.";"TUB - Transportes Urbanos de Braga, EM (504807684)";"450.000,00 €";"45213350-1, Obras de construção de edifícios relacionados com vários meios de transporte";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNzA2NA;8552432;false
385/2026;09-01-2026;Aluguer de Stands e Mobiliário para a Feira do Queijo de 2026;Município de Serpa (501112049);"149.450,00 €";"39154000-6, Equipamento para exposições";Anúncio de procedimento;Concurso público;"Aquisição de serviços; Locação de bens móveis";6;2;https://community.vortal.biz/Public/public-tender-documents/Mm01Qnppb0FvdWtWVTNVdHNzNnhrK3Z1cWJqNWtUR3ZJaU83MGZtU0hGdUcwQWprVnpsTEEyNDI1UTZzR0pvaVg1TklDWC9Fa3MwMi82R2JES2tKdnc9PXpwc0tE;8552431;false
386/2026;09-01-2026;"Empreitada de Reabilitação de Moradia  Rua da Lucinda n.º 32, Ribeirinha  Lajes (U152), no âmbito do Plano de Recuperação e Resiliência, Investimento RE-C02-I01  Programa de Apoio ao Acesso à Habitação";Município das Lajes do Pico (512074143);"81.650,00 €";"45000000-7, Construção";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTMxMQ;8552429;false
387/2026;09-01-2026;"Empreitada de Reabilitação de Moradia  Fetais n.º 57, Piedade  Lajes (U554), no âmbito do Plano de Recuperação e Resiliência, Investimento RE-C02-I01  Programa de Apoio ao Acesso à Habitação";Município das Lajes do Pico (512074143);"99.100,00 €";"45453100-8, Obras de recuperação";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTMwNg;8552428;false
388/2026;09-01-2026;"Prestação de Serviços para Fiscalização da empreitada de conceção-construção de intervenção na Farmácia Hospitalar, para o HFF, integrado na ULSASI, E.P.E.";"Unidade Local de Saúde de Amadora/Sintra, EPE (503035416)";"125.000,00 €";"71247000-1, Supervisão de trabalhos de construção";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/YTQ5V2hrWWFPdXFVU0d0cWpyTU9VN3YweUhsR2EyM2lGeDdQOUZNNWxneXdaeU84YlA1QzRXaXdHSW1scVpSWlpXeVhFMzNUYXAwcjBJRjBsc1BxN3c9PU92THZz;8552426;false
389/2026;09-01-2026;Aquisição de comando manual ;"Infraestruturas de Portugal, SA (503933813)";"39.940,00 €";"34946120-7, Material ferroviário";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.anogov.com/infraestruturasdeportugal-ip/faces/app/acessoDocs.jsp?codigoAcesso=zRttRGYPskoajpzNu3Y24n6P3IulM5V6yJz3dyvEWO2fxrJ7Bn;8552424;false
390/2026;09-01-2026;CONTRATO DE AQUISIÇÃO DE SERVIÇOS PARA A ORGANIZAÇÃO E IMPLEMENTAÇÃO DE UM PROGRAMA DE APOIO À PROMOÇÃO DAS APRENDIZAGENS DOS ALUNOS DO 2.º E DO 3.º CICLO DO ENSINO BÁSICO;Município de Santo Tirso (501306870);"83.000,00 €";"98133000-4, Serviços prestados por organizações associativas de carácter social";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/b1UyajZ2M1R4c0lyZ09pdU0xaFdCQlRXK3hTNmM0eW9vN1BTSXZlakVTTGdka2Q1Q0cxQy82a3ltenpYRHMyaW1qZ0hVd3JQQ2Z1bnkyMEtCZ0c5NEE9PU9vNEIr;8552423;false
391/2026;09-01-2026;Serviços de manutenção do licenciamento SAS;Banco de Portugal (500792771);"179.886,00 €";"72267000-4, Serviços de manutenção e reparação de software";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/cW9vaUJndGFocFE2YVZmdWh1U0hvZG9HMWo0aU84TThTdElwdHMrZ3dzN1g4N2FOaDg0cGxvMm11ZVpOMHhreHI0OUZEUFMybWZwL2t4TXBDK0VqbXc9PVElTDB4;8552422;false
392/2026;09-01-2026;Prestação de Serviços de Impressão dos Cadernos de Programação e Brochuras de Programação (Versão em Inglês);"Teatro Nacional de São João, EPE (503966908)";"61.955,00 €";"79810000-5, Serviços de impressão";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTM1OQ;8552420;false
393/2026;09-01-2026;CPBL2601 - SISTEMA DE PRODUÇÃO DE BLOCOS E ROLHAS AGLOMERADAS DE CORTIÇA;Centro Formação Profissional Indústria de Cortiça (900220538);"275.090,00 €";"42642300-1, Máquinas-ferramentas para trabalhar cortiça";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.compraspt.com/cpt-cincork/faces/app/acessoDocs.jsp?codigoAcesso=6GzEhBi9JX1UvydDJ6itkdAs7Ld2lynTYSQAv95uG2mz6zEMDK;8552418;false
394/2026;09-01-2026;Empreitada de Alteração e Ampliação do Edifício do Centro de Saúde de Vila Nova de S. Bento.;Município de Serpa (501112049);"698.797,13 €";"45215100-8, Obras de construção de edifícios relacionados com serviços de saúde";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://community.vortal.biz/Public/public-tender-documents/YmhWR1J6QzN3VnV2UkdySjVQSGcrbTNtSXNIT21EN2hmdXBNRW5rdHdBVG9VVVZSTHVKWloxQTQwc25HVjBWRlZpNmhxV3k5Mk5UYmhVaGErblpFN1E9PSZwKTBE;8552417;false
395/2026;09-01-2026;Aquisição de Serviço de Implementação de Infraestrutura de Cablagem de Fibra Ótica e Cobre;"Cooptécnica - Gustave Eiffel, Cooperativa de Ensino e Formação Técnico Profissional, CRL (502327669)";"219.884,59 €";"32424000-1, Infra-estrutura de rede";Anúncio de procedimento;Concurso público;"Aquisição de bens móveis; Locação de bens móveis";6;2;https://community.vortal.biz/Public/public-tender-documents/U2xyRTNnM01SdkNsaGlFWHRPVXhXTnJNZWNLUGVhK0FpR0J5WDlvMlRTdkJmS2VJOTNmVlVhOU5wd1JXRGpmZTg3eGZybHdxUWw0OGYxM2hEUlc1dHc9PXZLTlpz;8552414;false
